R,W,Tr,Frac_b,V,A,C,t
1.0417481560821487,1.12043043369931,0.6368861276640267,0.1863094436066678,-70.67137421518152,13.048429096537163,1.7165728736733217,95
1.0417482253498334,1.1204292924534724,0.636884992896228,0.18630965930786583,-70.67135876173644,13.048418932004722,1.7165716989031472,96
1.0417482926377832,1.1204281838255015,0.6368838871178308,0.1863098711609196,-70.67134333753152,13.048409181126662,1.716570568137297,97
1.0417483580300377,1.1204271064307734,0.6368828091910176,0.18631007926080895,-70.67132795198218,13.048399822952787,1.7165694791189883,98
1.041748421606342,1.1204260589554182,0.6368817580338575,0.18631028369947603,-70.67131261381736,13.048390837672354,1.7165684297159614,99
1.041748483442382,1.120425040152441,0.6368807326173122,0.18631048456593036,-70.67129733112098,13.048382206550253,1.7165674179134447,100
1.0417485436100073,1.12042404883806,0.6368797319624064,0.1863106819463508,-70.67128211137094,13.04837391186684,1.7165664418075215,101
1.0417486021774403,1.120423083888254,0.6368787551375571,0.18631087592418494,-70.67126696147585,13.048365936861186,1.716565499598879,102
1.0417486592094733,1.1204221442355038,0.6368778012560489,0.18631106658024493,-70.67125188780967,13.048358265677562,1.7165645895869128,103
1.041748714767657,1.120421228865716,0.6368768694736503,0.18631125399280082,-70.67123689624422,13.04835088331496,1.7165637101641715,104
1.0417487689104747,1.1204203368153216,0.6368759589863614,0.18631143823767088,-70.67122199217991,13.048343775579472,1.7165628598111151,105
1.04174882169351,1.120419467168538,0.6368750690282855,0.18631161938830873,-70.6712071805745,13.048336929039392,1.7165620370911776,106
1.0417488731696023,1.1204186190547825,0.6368741988696185,0.1863117975158879,-70.67119246597042,13.048330330982836,1.7165612406461064,107
1.0417489233889965,1.120417791646233,0.636873347814749,0.1863119726893834,-70.67117785252024,13.048323969377785,1.716560469191571,108
1.0417489723994813,1.1204169841555252,0.6368725152004624,0.1863121449756506,-70.67116334401084,13.048317832834377,1.716559721513021,109
1.041749020246522,1.1204161958335772,0.6368717003942442,0.1863123144395013,-70.67114894388601,13.048311910569327,1.7165589964617782,110
1.041749066973385,1.1204154259675367,0.6368709027926763,0.18631248114377724,-70.67113465526786,13.04830619237237,1.7165582929513536,111
1.041749112621256,1.1204146738788439,0.6368701218199209,0.18631264514942084,-70.67112048097691,13.048300668574592,1.716557609953972,112
1.041749157229349,1.1204139389213985,0.6368693569262877,0.18631280651554355,-70.67110642355101,13.04829533001854,1.7165569464972945,113
1.041749200835014,1.1204132204798343,0.6368686075868789,0.1863129652994917,-70.67109248526312,13.048290168030018,1.7165563016613266,114
1.0417492434738342,1.120412517967885,0.636867873300309,0.18631312155691,-70.67107866813811,13.04828517439149,1.716555674575502,115
1.0417492851797205,1.120411830826843,0.6368671535874935,0.1863132753418024,-70.6710649739685,13.048280341316945,1.7165550644159324,116
1.041749325984999,1.120411158524103,0.6368664479905038,0.18631342670659123,-70.6710514043294,13.048275661428208,1.716554470402811,117
